,followers,genres,id,name,popularity
0,117379,"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'vapor soul']",1ifC4znYCvmMSJ0rght5JS,Haux,63
1,71415,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",7egNqIGRldMzifHoh8pib6,Al Martino,52
2,50132,"['eurovision', 'israeli pop']",0QmOR0TqxMPtZxtaIJ5klY,Nadav Guedj,38
3,33002,"['indie rock', 'stomp and holler']",3ZXXJ9nO1Dn9B0AJ25eAQY,Hamilton Leithauser,51
4,680303,"['k-pop', 'korean pop']",6OwKE9Ez6ALxpTaKcT5ayv,AKMU,65
5,7508,['florida rap'],5jHU4288qLBI7EHPc9gmdj,Brokeasf,44
6,162323,"['alternative country', 'canadian singer-songwriter', 'country rock', 'folk', 'folk rock', 'indie folk', 'lilith', 'melancholia', 'nashville singer-songwriter', 'new americana', 'progressive bluegrass', 'roots rock', 'singer-songwriter', 'stomp and holler', 'traditional folk']",2H5elA2mJKrHmqkN9GSfkz,Gillian Welch,59
7,2866871,"['dance pop', 'europop', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",3whuHq0yGx60atvA2RCVRW,Olly Murs,69
8,15120,['irish pop'],7etzKNDxaZ1LefgbGrexsN,Wyvern Lingo,42
9,768244,"['indie folk', 'indie pop', 'stomp and holler']",6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,73
10,19528263,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']",0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,89
11,73401,"['modern alternative rock', 'modern blues rock']",2FsZnS8gQ8jG1HGnPYNlm9,Jamie N Commons,60
12,945450,"['alternative dance', 'dance-punk', 'disco house', 'electro house', 'electronica', 'filter house', 'new rave']",1gR0gsQYfi6joyO1dlp76N,Justice,62
13,536400,"['contemporary country', 'pop', 'texas country']",6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,76
14,147754,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",5XMyhVhi5ZN2pi0Qwi1zXS,Joy Crookes,57
15,16902,"['balearic', 'nu disco']",3KuNrap7xPWVJCyBHAE4le,Midnight Magic,39
16,486,['drama'],4bUFcghVJHLp2HSaEJTtyd,Julie Harris,10
17,14813,"['deconstructed club', 'hyperpop', 'italian experimental', 'outsider house']",7mKwhB3UiepqzM946jBOyi,Lorenzo Senni,36
18,1694945,"['edmonton indie', 'lo-fi indie']",3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,74
19,127812,"['djent', 'melodic metalcore', 'metalcore', 'progressive metalcore']",1DgmdsnwOexqTH8ohPCFAU,Volumes,51
20,21849,['celtic rock'],4bofI6U62c9ZvTOrORFVwc,Carbon Leaf,39
21,4614503,"['dance pop', 'pop']",6tbjWDEIzxoDsBA1FuhfPW,Madonna,78
22,1937,"['guidance', 'language']",3UbPiAHODPHyrORJPMPnEG,Henry Raymond Jr.,30
23,388,['pop punk'],2hNCFvZTnNtgLqdkuFvtl6,Best Intentions,13
24,1219350,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,74
