,followers,genres,id,name,popularity
0,1435,[],1RHPoWCzOTCLxRgABHDQ9e,Rookie Season,30
1,465,[],21U625AUwj23OxpWcugsun,Bianca Rossini,19
2,12359,['classic rock'],4VmWYQQ5M9N9AiAx14v2yg,Aliotta Haynes Jeremiah,51
3,6687,['dutch r&b'],6jAydcjNjyqbeVY9LU6ImF,Wantigga,34
4,35225,"['deep groove house', 'disco house', 'house', 'pop dance', 'uk dance']",16KSSLMXOdKQ2MHt9bOHTG,Tough Love,49
5,1230226,"['album rock', 'art rock', 'classic rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic rock']",7AC976RDJzL2asmZuz7qil,Yes,63
6,22518,"['alternative metal', 'hard alternative', 'nu metal', 'post-grunge']",4e27lOSzk1nvSxpw2BrrwT,Revis,37
7,13,[],761jLrJ3YSvCWz7F0NPZJY,Dr. Dreammaker,51
8,47898,"['australian pop', 'australian talent show']",5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,56
9,15975,['swedish reggae'],6jMfbm9y64CESMB5wFtgZx,Governor Andy,38
10,22171,"['broken beat', 'deep house', 'nu jazz']",2pMSfxqqpW87tzVwPQxeFw,Nuyorican Soul,40
11,67207,"['bristol indie', 'chamber pop', 'chamber psych', 'freak folk', 'indie folk']",0ZUyFEafMwocvApBjTXvdo,This Is The Kit,54
12,18468,['pop r&b'],5uTsMjH1CdE81ncmOnE4WY,Haley Smalls,35
13,204243,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'musique touareg', 'tuareg guitar', 'western saharan folk', 'world']",2sf2owtFSCvz2MLfxmNdkb,Tinariwen,50
14,97527,['europop'],2vJU4d2jRQb4zJJIQRkyDB,Mel B,32
15,532,['modern old-time'],7Bk7ojRJfkv48w69JNF66V,Bella White,24
16,1323,[],7sGn2EJElyIPoxp6aWVg5O,The City,28
17,1367,['merseybeat'],3f121mss4A4LwR25ErGzP0,The Dakotas,36
18,3177468,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,68
19,3049,['modern dream pop'],4PeDuiJ3tM8So1Ai7c5szN,Elizabeth,33
20,311,['swedish hardcore'],6CvWsU6Wqvttrtwr74ypua,Alenah,5
