,followers,genres,id,name,popularity
0,47349,"['canadian singer-songwriter', 'classic canadian rock', 'mellow gold']",5Jj4mqGYiplyowPLKkJLHt,Tom Cochrane,53
1,1434,[],1RHPoWCzOTCLxRgABHDQ9e,Rookie Season,30
2,466,[],21U625AUwj23OxpWcugsun,Bianca Rossini,19
3,12378,['classic rock'],4VmWYQQ5M9N9AiAx14v2yg,Aliotta Haynes Jeremiah,51
4,6694,['dutch r&b'],6jAydcjNjyqbeVY9LU6ImF,Wantigga,34
5,35254,"['deep groove house', 'disco house', 'house', 'pop dance', 'uk dance']",16KSSLMXOdKQ2MHt9bOHTG,Tough Love,49
6,1231187,"['album rock', 'art rock', 'classic rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic rock']",7AC976RDJzL2asmZuz7qil,Yes,63
7,22548,"['alternative metal', 'hard alternative', 'nu metal', 'post-grunge']",4e27lOSzk1nvSxpw2BrrwT,Revis,37
8,13,[],761jLrJ3YSvCWz7F0NPZJY,Dr. Dreammaker,51
9,47925,"['australian pop', 'australian talent show']",5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,56
10,15978,['swedish reggae'],6jMfbm9y64CESMB5wFtgZx,Governor Andy,38
11,22192,"['broken beat', 'deep house', 'nu jazz']",2pMSfxqqpW87tzVwPQxeFw,Nuyorican Soul,40
12,67363,"['bristol indie', 'chamber pop', 'chamber psych', 'freak folk', 'indie folk']",0ZUyFEafMwocvApBjTXvdo,This Is The Kit,54
13,18492,['pop r&b'],5uTsMjH1CdE81ncmOnE4WY,Haley Smalls,35
14,204446,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'musique touareg', 'tuareg guitar', 'western saharan folk', 'world']",2sf2owtFSCvz2MLfxmNdkb,Tinariwen,50
15,97703,['europop'],2vJU4d2jRQb4zJJIQRkyDB,Mel B,32
16,542,['modern old-time'],7Bk7ojRJfkv48w69JNF66V,Bella White,24
17,1325,[],7sGn2EJElyIPoxp6aWVg5O,The City,28
18,1367,['merseybeat'],3f121mss4A4LwR25ErGzP0,The Dakotas,36
19,3178768,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house']",1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,68
20,3056,['modern dream pop'],4PeDuiJ3tM8So1Ai7c5szN,Elizabeth,33
21,311,['swedish hardcore'],6CvWsU6Wqvttrtwr74ypua,Alenah,5
22,934809,"['alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo']",5ojhEavq6altxW8fWIlLum,Escape the Fate,64
23,4131,[],7z7byOJ4AJnMY2NHE66ZpW,DOE,44
24,22390,['fingerstyle'],3NQRIqPwnKZJ4KLKGSkl2Y,Don Ross,36
25,8857,['nz pop'],5ZwD9tfnJ04kM0qgPSMzgy,Thomas Oliver,49
26,43178,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz guitar']",253GMpCNwx1TJtASNAeDoP,Kurt Rosenwinkel,40
27,4105,[],0DJJrg8eUagEWZXFgwKJfM,ENMY,38
28,252699,['modern alternative rock'],5bmqhxWk9SEFDGIzWpSjVJ,THE DRIVER ERA,59
29,1370,"['orebro indie', 'swedish garage rock']",27Hd2l3rnMm3JL9hm31RE7,Tribe Friday,33
30,31,[],0GTtrDVfQkLdSa72WurxfH,Julien-François Zbinden,2
31,1655,"['american primitive', 'drone folk']",0SEjW4NsEIkiSgpoxLuQCI,Max Ochs,15
32,15,[],663VphTY3ZpSam1nra3WG6,Stellarscopees,45
33,160057,"['hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0Ttph0pOZiPNTD3y2wUUb6,Shanice,50
34,113295,"['blues rock', 'country rock', 'electric blues', 'modern blues']",5Ws3s6lSP4Un8kQf8CrAta,Susan Tedeschi,48
35,265295,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']",73sSFVlM6pkweLXE8qw1OS,Ricky Nelson,60
36,1876,"['delta blues', 'pre-war blues', 'traditional blues']",5fJqKIhjv3fatslXWyKysG,King Solomon Hill,17
37,17658,"['folk-pop', 'indiecoustica', 'stomp and holler']",5T3N5ks9c3L7D4aXw54DVs,RIVVRS,40
38,97749,"['anti-folk', 'bubblegrunge', 'indie pop', 'indie punk', 'indie rock']",3BYXi96LqI8TwNljFKE0DZ,Girlpool,47
39,40632,"['norwegian indie', 'norwegian pop']",1tN0vK9jF9KVzvJHzWQaUM,Siri Nilsen,36
40,318609,"['j-division', 'k-pop girl group']",5ORE0ElD7HiONogJZzhKrS,PRODUCE 48,43
41,1376,['toronto indie'],31kZNy2FQoUD4V8LUr9exv,PONY,13
42,26197,"['deep new americana', 'modern alternative rock', 'philly indie']",3P3iJ6AlAdlb4tYAu00Fhk,Mo Lowda & the Humble,44
43,613702,"['dance rock', 'disco', 'europop', 'mellow gold', 'motown', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",5IDs1CK15HegSAhGEbSYXo,Billy Ocean,65
44,3112,[],3xjvEQFNYxMqlh7IAo3MMI,Hauskey,46
